county,total_population_of_one_race,total_population_of_one_race_white_alone,total_population_of_one_race_black_or_african_american_alone,total_population_of_one_race_american_indian_and_alaska_native_alone,total_population_of_one_race_asian_alone,total_population_of_one_race_native_hawaiian_and_other_pacific_islander_alone,total_population_of_one_race_some_other_race_alone,total_population_of_two_or_more_races
"Gulf County, Florida","13,475","11,399","1,703",76,57,4,236,717
"Hamilton County, Florida","13,315","8,028","4,477",58,43,0,709,689
"Hardee County, Florida","20,961","14,821","2,179",189,172,8,"3,592","4,366"
"Hendry County, Florida","31,834","18,446","4,357",648,350,14,"8,019","7,785"
"Hernando County, Florida","174,448","152,496","10,263",826,"2,669",107,"8,087","20,067"
"Highlands County, Florida","90,284","71,549","9,891",503,"1,644",58,"6,639","10,951"
"Hillsborough County, Florida","1,213,730","767,348","237,434","7,229","71,080","1,149","129,490","246,032"
"Holmes County, Florida","18,766","17,063","1,237",128,90,13,235,887
"Indian River County, Florida","145,720","122,541","13,367",531,"2,390",68,"6,823","14,068"
"Jackson County, Florida","45,054","31,381","12,150",225,294,18,986,"2,265"
"Jefferson County, Florida","13,922","8,905","4,621",42,34,4,316,588
"Lafayette County, Florida","7,870","6,363","1,045",24,10,6,422,356
"Lake County, Florida","342,554","269,452","39,544","1,625","8,566",346,"23,021","41,402"
"Lee County, Florida","663,644","530,637","58,916","3,828","13,090",312,"56,861","97,178"
"Leon County, Florida","270,566","163,927","88,862",838,"10,590",174,"6,175","21,632"
"Levy County, Florida","39,758","34,111","3,690",232,293,17,"1,415","3,157"
"Liberty County, Florida","7,645","5,926","1,357",63,18,2,279,329
"Madison County, Florida","17,167","10,425","6,310",59,46,0,327,801
"Manatee County, Florida","358,329","289,188","32,121","1,642","8,555",275,"26,548","41,381"
"Marion County, Florida","338,609","268,563","44,411","1,527","6,072",171,"17,865","37,299"
"Martin County, Florida","144,862","124,465","7,582","1,223","2,291",60,"9,241","13,569"
"Miami-Dade County, Florida","1,570,186","796,893","400,002","9,107","44,124",641,"319,419","1,131,581"
"Monroe County, Florida","70,397","60,153","4,807",345,"1,170",64,"3,858","12,477"
"Nassau County, Florida","84,611","77,047","5,035",300,890,61,"1,278","5,741"
"Okaloosa County, Florida","188,035","151,861","19,660","1,206","6,802",489,"8,017","23,633"
"Okeechobee County, Florida","35,512","27,333","3,405",404,335,14,"4,021","4,132"
"Orange County, Florida","1,164,813","629,789","277,027","6,328","78,348","1,417","171,904","265,095"
"Osceola County, Florida","291,049","157,720","40,775","2,253","11,803",338,"78,160","97,607"
"Palm Beach County, Florida","1,283,933","855,682","262,422","9,598","44,140",685,"111,406","208,258"
"Pasco County, Florida","496,812","417,086","34,004","2,205","16,775",391,"26,351","65,079"
"Pinellas County, Florida","874,645","709,036","94,154","3,561","34,167",852,"32,875","84,462"
"Polk County, Florida","631,275","439,034","105,533","3,884","13,514",463,"68,847","93,771"
"Putnam County, Florida","68,093","52,345","11,444",434,481,39,"3,350","5,228"
"St. Johns County, Florida","249,317","220,420","13,363",726,"9,882",160,"4,766","24,108"
"St. Lucie County, Florida","288,170","192,202","66,407","1,398","5,818",185,"22,160","41,056"
"Santa Rosa County, Florida","171,424","151,133","11,035","1,309","3,928",392,"3,627","16,576"
"Sarasota County, Florida","400,387","359,053","16,781","1,320","8,515",182,"14,536","33,619"
"Seminole County, Florida","401,616","289,597","53,509","1,623","25,615",322,"30,950","69,240"
"Sumter County, Florida","124,240","112,058","8,593",386,"1,256",41,"1,906","5,512"
"Suwannee County, Florida","40,448","33,024","5,010",228,275,19,"1,892","3,026"
"Taylor County, Florida","20,887","16,047","4,209",114,225,0,292,909
"Union County, Florida","15,528","11,903","3,233",50,35,0,307,619
"Volusia County, Florida","498,561","400,163","57,789","2,085","10,689",305,"27,530","54,982"
"Wakulla County, Florida","31,795","26,614","4,250",165,203,19,544,"1,969"
"Walton County, Florida","69,567","61,858","3,339",539,923,46,"2,862","5,738"
"Washington County, Florida","23,831","19,811","3,283",222,137,28,350,"1,487"
"Appling County, Georgia","17,737","13,071","3,387",91,128,1,"1,059",707
"Atkinson County, Georgia","7,613","5,280","1,213",64,13,4,"1,039",673
"Bacon County, Georgia","10,643","8,251","1,763",14,40,4,571,497
"Baker County, Georgia","2,758","1,536","1,130",1,18,0,73,118
"Baldwin County, Georgia","42,439","22,655","18,404",83,599,28,670,"1,360"
"Banks County, Georgia","17,053","15,838",395,103,190,14,513,982
"Barrow County, Georgia","76,740","57,644","10,369",405,"3,274",23,"5,025","6,765"
"Bartow County, Georgia","100,984","82,391","11,512",481,"1,186",44,"5,370","7,917"
"Ben Hill County, Georgia","16,434","9,432","6,267",70,119,0,546,760
"Berrien County, Georgia","17,204","14,643","1,954",37,80,10,480,956
"Bibb County, Georgia","151,075","57,778","85,885",373,"3,251",53,"3,735","6,271"
"Bleckley County, Georgia","12,216","9,016","2,818",20,154,8,200,367
"Brantley County, Georgia","17,226","16,427",568,57,42,3,129,795
"Brooks County, Georgia","15,600","9,307","5,714",50,67,6,456,701
"Bryan County, Georgia","40,943","32,217","6,486",140,"1,060",53,987,"3,795"
"Bulloch County, Georgia","77,243","50,718","23,052",225,"1,303",71,"1,874","3,856"
"Burke County, Georgia","23,690","12,166","11,027",58,97,13,329,906
"Butts County, Georgia","24,242","16,823","6,832",39,107,9,432,"1,192"
"Calhoun County, Georgia","5,493","1,783","3,581",8,19,0,102,80
"Camden County, Georgia","50,464","38,371","9,697",261,882,77,"1,176","4,304"
"Candler County, Georgia","10,372","6,768","2,695",30,65,3,811,609
"Carroll County, Georgia","111,334","82,566","22,126",520,"1,121",23,"4,978","7,814"
"Catoosa County, Georgia","64,020","59,903","1,858",244,"1,035",85,895,"3,852"
"Charlton County, Georgia","12,070","8,745","2,627",47,116,2,533,448
"Chatham County, Georgia","277,057","143,891","109,313","1,079","10,709",456,"11,609","18,234"
"Chattahoochee County, Georgia","8,525","5,965","1,511",46,306,111,586,"1,040"
"Chattooga County, Georgia","23,761","20,293","2,408",98,102,0,860,"1,204"
"Cherokee County, Georgia","242,028","204,670","17,785","1,343","5,497",117,"12,616","24,592"
"Clarke County, Georgia","120,054","74,925","31,660",580,"4,954",86,"7,849","8,617"
"Clay County, Georgia","2,763","1,151","1,597",1,6,0,8,85
"Clayton County, Georgia","280,614","30,505","207,981","1,991","13,640",178,"26,319","16,981"
"Clinch County, Georgia","6,483","4,309","1,965",30,23,14,142,266
"Cobb County, Georgia","693,000","387,625","203,840","4,260","42,810",395,"54,070","73,149"
"Coffee County, Georgia","40,920","25,437","11,972",210,301,26,"2,974","2,172"
"Colquitt County, Georgia","42,927","27,248","10,068",400,388,15,"4,808","2,971"
"Columbia County, Georgia","142,313","102,028","28,315",540,"7,211",302,"3,917","13,697"
"Cook County, Georgia","16,470","10,975","4,772",73,101,9,540,759
"Coweta County, Georgia","136,227","101,755","25,867",525,"3,365",66,"4,649","9,931"
"Crawford County, Georgia","11,521","9,008","2,268",58,31,4,152,609
"Crisp County, Georgia","19,482","10,007","8,879",35,180,4,377,646
"Dade County, Georgia","15,385","14,895",142,83,131,5,129,866
"Dawson County, Georgia","25,073","23,852",209,90,236,15,671,"1,725"
"Decatur County, Georgia","28,308","14,558","12,241",109,186,16,"1,198","1,059"
"DeKalb County, Georgia","714,489","225,752","388,963","4,412","50,384",250,"44,728","49,893"
"Dodge County, Georgia","19,305","13,020","5,870",23,95,17,280,620
"Dooly County, Georgia","10,898","4,691","5,561",27,51,5,563,310
"Dougherty County, Georgia","83,230","20,976","59,988",167,668,30,"1,401","2,560"
"Douglas County, Georgia","133,692","52,285","69,870",689,"2,347",118,"8,383","10,545"
"Early County, Georgia","10,572","4,864","5,562",36,47,3,60,282
"Echols County, Georgia","3,313","2,534",157,66,11,0,545,384
"Effingham County, Georgia","60,278","49,132","8,845",249,681,40,"1,331","4,491"
"Elbert County, Georgia","18,863","12,824","5,280",59,182,9,509,774
"Emanuel County, Georgia","22,066","14,026","7,264",60,143,2,571,702
"Evans County, Georgia","10,168","6,240","3,114",29,82,12,691,606
"Fannin County, Georgia","24,179","23,549",85,95,113,5,332,"1,140"
"Fayette County, Georgia","110,169","69,788","29,559",410,"6,419",58,"3,935","9,025"
"Floyd County, Georgia","91,373","69,485","14,087",698,"1,289",24,"5,790","7,211"
"Forsyth County, Georgia","230,990","163,687","10,721","1,017","45,203",92,"10,270","20,293"
"Franklin County, Georgia","22,312","19,449","1,904",43,261,6,649,"1,112"
"Fulton County, Georgia","995,802","418,700","453,834","3,255","80,949",452,"38,612","70,908"
"Gilmer County, Georgia","29,566","26,962",146,260,143,5,"2,050","1,787"
"Glascock County, Georgia","2,801","2,590",196,0,7,4,4,83
"Glynn County, Georgia","79,673","54,229","20,676",372,"1,189",121,"3,086","4,826"
"Gordon County, Georgia","52,960","45,135","2,147",358,722,21,"4,577","4,584"
"Grady County, Georgia","24,887","15,065","7,336",256,120,6,"2,104","1,349"
"Greene County, Georgia","18,026","11,296","5,810",37,174,4,705,889
"Gwinnett County, Georgia","854,481","339,822","262,709","7,918","127,152",604,"116,276","102,581"
"Habersham County, Georgia","42,313","36,249","1,749",236,999,36,"3,044","3,718"
"Hall County, Georgia","180,847","130,744","14,660","1,739","4,254",107,"29,343","22,289"
"Hancock County, Georgia","8,535","2,421","6,028",25,37,1,23,200
"Haralson County, Georgia","28,749","27,011","1,253",64,187,11,223,"1,170"
"Harris County, Georgia","32,607","26,353","5,237",122,397,21,477,"2,061"
"Hart County, Georgia","24,648","19,447","4,334",63,335,2,467,"1,180"
"Heard County, Georgia","10,810","9,672",942,33,53,6,104,602
"Henry County, Georgia","225,110","89,241","118,124",832,"8,064",132,"8,717","15,602"
"Houston County, Georgia","151,769","88,519","52,610",574,"4,975",153,"4,938","11,864"
"Irwin County, Georgia","9,358","6,487","2,229",24,119,1,498,308
"Jackson County, Georgia","70,893","60,464","5,232",245,"1,780",44,"3,128","5,014"
"Jasper County, Georgia","13,819","10,913","2,464",42,24,9,367,769
"Jeff Davis County, Georgia","14,058","10,354","2,307",82,54,7,"1,254",721
"Jefferson County, Georgia","15,299","6,941","7,976",44,70,0,268,410
"Jenkins County, Georgia","8,462","4,679","3,545",35,12,5,186,212
"Johnson County, Georgia","8,967","5,822","3,032",23,28,15,47,222
"Jones County, Georgia","27,363","20,206","6,767",49,141,7,193,984
"Lamar County, Georgia","17,726","12,475","4,914",21,103,4,209,774
"Lanier County, Georgia","9,300","6,794","2,173",40,81,20,192,577
"Laurens County, Georgia","47,904","28,160","18,332",102,513,14,783,"1,666"
"Lee County, Georgia","31,675","22,985","7,375",78,854,13,370,"1,488"
"Liberty County, Georgia","58,897","25,953","28,095",320,"1,380",478,"2,671","6,359"
"Lincoln County, Georgia","7,426","5,239","2,124",18,20,3,22,264
"Long County, Georgia","14,634","9,197","4,125",137,181,91,903,"1,534"
"Lowndes County, Georgia","111,390","61,186","44,434",477,"1,952",117,"3,224","6,861"
"Lumpkin County, Georgia","31,335","29,750",429,187,257,21,691,"2,153"
"McDuffie County, Georgia","20,759","11,580","8,682",50,77,20,350,873
"McIntosh County, Georgia","10,488","7,145","3,192",38,43,0,70,487
"Macon County, Georgia","11,835","4,153","7,164",32,156,8,322,247
"Madison County, Georgia","28,381","23,977","2,769",82,529,7,"1,017","1,739"
"Marion County, Georgia","7,143","4,551","2,150",24,55,16,347,355
"Meriwether County, Georgia","19,880","12,233","7,286",64,78,6,213,733
"Miller County, Georgia","5,836","3,986","1,751",10,31,3,55,164
"Mitchell County, Georgia","21,159","10,273","10,114",45,108,0,619,596
"Monroe County, Georgia","26,833","20,122","6,113",43,244,4,307,"1,124"
"Montgomery County, Georgia","8,312","5,789","2,133",25,39,2,324,298
"Morgan County, Georgia","19,284","14,609","4,122",48,126,1,378,813
"Murray County, Georgia","37,164","33,343",282,599,134,2,"2,804","2,809"
"Muscogee County, Georgia","192,287","82,467","96,163",827,"5,661",555,"6,614","14,635"
"Newton County, Georgia","106,030","48,030","52,794",330,"1,053",125,"3,698","6,453"
"Oconee County, Georgia","39,413","34,450","1,921",76,"2,082",0,884,"2,386"
"Oglethorpe County, Georgia","13,933","11,072","2,260",54,134,5,408,892
"Paulding County, Georgia","156,335","111,196","37,353",614,"1,956",126,"5,090","12,326"
"Peach County, Georgia","26,530","12,499","12,219",110,199,7,"1,496","1,451"
"Pickens County, Georgia","31,519","30,400",301,141,194,6,477,"1,697"
"Pierce County, Georgia","18,978","16,654","1,603",77,83,2,559,738
"Pike County, Georgia","18,136","16,439","1,447",34,79,0,137,753
"Polk County, Georgia","40,407","31,249","5,212",325,240,26,"3,355","2,446"
"Pulaski County, Georgia","9,578","6,098","3,170",13,93,3,201,277
"Putnam County, Georgia","20,902","14,669","5,419",83,108,1,622,"1,145"
"Quitman County, Georgia","2,143","1,190",919,13,12,0,9,92
"Rabun County, Georgia","15,796","15,033",114,70,63,1,515,"1,087"
"Randolph County, Georgia","6,259","2,253","3,877",12,21,3,93,166
"Richmond County, Georgia","195,001","70,997","114,201",690,"3,975",416,"4,722","11,606"
"Rockdale County, Georgia","87,365","25,661","54,409",312,"1,542",83,"5,358","6,205"
"Schley County, Georgia","4,379","3,425",877,4,20,2,51,168
"Screven County, Georgia","13,621","8,087","5,308",51,61,8,106,446
"Seminole County, Georgia","8,853","5,658","2,995",7,64,2,127,294
"Spalding County, Georgia","63,766","37,855","23,301",245,648,24,"1,693","3,540"
"Stephens County, Georgia","25,199","21,589","2,976",94,229,11,300,"1,585"
"Stewart County, Georgia","5,179","1,352","2,466",13,169,6,"1,173",135
"Sumter County, Georgia","28,707","11,783","15,120",81,504,11,"1,208",909
"Talbot County, Georgia","5,572","2,461","3,079",5,17,1,9,161
"Taliaferro County, Georgia","1,477",606,833,4,6,0,28,82
"Tattnall County, Georgia","21,798","14,276","6,018",83,127,6,"1,288","1,044"
"Taylor County, Georgia","7,597","4,640","2,826",27,39,5,60,219
"Telfair County, Georgia","12,175","7,269","4,630",35,32,0,209,302
"Terrell County, Georgia","8,942","3,237","5,565",11,67,4,58,243
"Thomas County, Georgia","44,064","26,375","16,343",189,424,9,724,"1,734"
"Tift County, Georgia","38,926","23,237","12,131",136,651,2,"2,769","2,418"
"Toombs County, Georgia","25,660","16,560","7,023",101,209,6,"1,761","1,370"
"Towns County, Georgia","12,023","11,594",128,30,81,3,187,470
"Treutlen County, Georgia","6,224","4,106","2,024",21,7,1,65,182
"Troup County, Georgia","66,486","38,639","24,287",203,"1,610",37,"1,710","2,940"
"Turner County, Georgia","8,711","4,812","3,666",7,51,0,175,295
"Twiggs County, Georgia","7,744","4,522","3,124",22,37,0,39,278
"Union County, Georgia","23,437","22,836",129,93,106,0,273,"1,195"
"Upson County, Georgia","26,648","18,141","7,899",93,151,1,363,"1,052"
"Walker County, Georgia","64,260","60,122","2,871",208,299,34,726,"3,394"
"Walton County, Georgia","91,248","69,649","17,325",290,"1,414",54,"2,516","5,425"
"Ware County, Georgia","34,707","22,626","10,768",101,333,18,861,"1,544"
"Warren County, Georgia","5,097","1,994","3,053",18,15,3,14,118
"Washington County, Georgia","19,487","8,482","10,724",43,76,0,162,501
"Wayne County, Georgia","28,867","21,859","5,978",101,174,2,753,"1,277"
"Webster County, Georgia","2,249","1,145","1,063",3,12,6,20,99
"Wheeler County, Georgia","7,303","4,226","2,882",28,18,0,149,168
"White County, Georgia","26,389","25,261",476,144,161,0,347,"1,614"
"Whitfield County, Georgia","90,662","65,152","3,765","2,037","1,427",37,"18,244","12,202"
"Wilcox County, Georgia","8,542","5,254","3,099",3,49,3,134,224
"Wilkes County, Georgia","9,172","5,050","3,846",35,62,1,178,393
"Wilkinson County, Georgia","8,520","5,167","3,175",30,30,7,111,357
"Worth County, Georgia","20,132","14,529","5,273",61,88,8,173,652
"Hawaii County, Hawaii","141,384","67,365","1,251","1,027","39,607","28,096","4,038","59,245"
"Honolulu County, Hawaii","767,822","188,462","20,723","2,278","436,853","102,099","17,407","248,686"
"Kalawao County, Hawaii",60,27,2,0,12,15,4,22
"Kauai County, Hawaii","53,290","23,204",376,287,"21,102","7,227","1,094","20,008"
"Maui County, Hawaii","124,586","54,203","1,065",778,"44,328","20,008","4,204","40,168"
"Ada County, Idaho","453,110","410,263","8,058","3,274","13,929","1,318","16,268","41,857"
"Adams County, Idaho","4,159","4,060",3,38,11,0,47,220
"Bannock County, Idaho","81,011","72,902",748,"3,104","1,197",268,"2,792","6,007"
"Bear Lake County, Idaho","6,137","6,036",10,32,13,2,44,235
"Benewah County, Idaho","8,850","7,853",8,828,35,15,111,680
"Bingham County, Idaho","44,507","36,630",126,"3,340",200,39,"4,172","3,485"
"Blaine County, Idaho","22,051","18,677",50,144,212,16,"2,952","2,221"
"Boise County, Idaho","7,125","6,844",26,66,37,7,145,485
"Bonner County, Idaho","44,232","42,939",118,346,255,42,532,"2,878"
"Bonneville County, Idaho","115,090","103,736",626,"1,261","1,423",154,"7,890","8,874"
"Boundary County, Idaho","11,294","10,715",27,169,75,9,299,762
"Butte County, Idaho","2,431","2,372",2,18,3,3,33,143
"Camas County, Idaho",978,948,2,1,9,0,18,99
"Canyon County, Idaho","202,877","169,392","1,629","2,670","2,119",699,"26,368","28,228"
"Caribou County, Idaho","6,737","6,504",1,50,13,15,154,290
"Cassia County, Idaho","22,548","17,797",68,256,134,30,"4,263","2,107"
"Clark County, Idaho",686,498,10,2,1,0,175,104
"Clearwater County, Idaho","8,321","7,964",40,149,48,2,118,413
"Custer County, Idaho","4,059","3,942",5,35,17,2,58,216
"Elmore County, Idaho","25,651","21,488",757,358,800,109,"2,139","3,015"
"Franklin County, Idaho","13,527","12,908",26,103,30,7,453,667
"Fremont County, Idaho","12,729","11,563",21,94,46,25,980,659
"Gem County, Idaho","17,691","16,623",30,155,99,27,757,"1,432"
"Gooding County, Idaho","13,768","11,227",29,165,44,7,"2,296","1,830"
"Idaho County, Idaho","15,637","14,819",58,441,61,5,253,904
"Jefferson County, Idaho","29,272","27,092",86,204,124,34,"1,732","1,619"
"Jerome County, Idaho","20,942","16,412",48,440,97,22,"3,923","3,295"
